eBird Location codes:,,,,,,,,
2400,"""US-IA-093:Ida County"",",,,77,US-,SD-,077,:Kingsbury County
2401,"""US-IA-091:Humboldt County"",",,,79,US-,SD-,079,:Lake County
2402,"""US-IA-089:Howard County"",",,,81,US-,SD-,081,:Lawrence County
2403,"""US-IA-087:Henry County"",",,,83,US-,SD-,083,:Lincoln County
2404,"""US-IA-085:Harrison County"",",,,85,US-,SD-,085,:Lyman County
2405,"""US-IA-083:Hardin County"",",,,87,US-,SD-,087,:McCook County
2406,"""US-IA-081:Hancock County"",",,,89,US-,SD-,089,:McPherson County
2407,"""US-IA-079:Hamilton County"",",,,91,US-,SD-,091,:Marshall County
2408,"""US-IA-077:Guthrie County"",",,,93,US-,SD-,093,:Meade County
2409,"""US-IA-075:Grundy County"",",,,95,US-,SD-,095,:Mellette County
2410,"""US-IA-073:Greene County"",",,,97,US-,SD-,097,:Miner County
2411,"""US-IA-071:Fremont County"",",,,99,US-,SD-,099,:Minnehaha County
2412,"""US-IA-069:Franklin County"",",,,101,US-,SD-,101,:Moody County
2413,"""US-IA-067:Floyd County"",",,,103,US-,SD-,103,:Pennington County
2414,"""US-IA-065:Fayette County"",",,,105,US-,SD-,105,:Perkins County
2415,"""US-IA-063:Emmet County"",",,,107,US-,SD-,107,:Potter County
2416,"""US-IA-061:Dubuque County"",",,,109,US-,SD-,109,:Roberts County
2417,"""US-IA-059:Dickinson County"",",,,111,US-,SD-,111,:Sanborn County
2418,"""US-IA-057:Des Moines County"",",,,113,US-,SD-,113,:Shannon County
2419,"""US-IA-055:Delaware County"",",,,115,US-,SD-,115,:Spink County
2420,"""US-IA-053:Decatur County"",",,,117,US-,SD-,117,:Stanley County
2421,"""US-IA-051:Davis County"",",,,119,US-,SD-,119,:Sully County
2422,"""US-IA-049:Dallas County"",",,,121,US-,SD-,121,:Todd County
2423,"""US-IA-047:Crawford County"",",,,123,US-,SD-,123,:Tripp County
2424,"""US-IA-045:Clinton County"",",,,125,US-,SD-,125,:Turner County
2425,"""US-IA-043:Clayton County"",",,,127,US-,SD-,127,:Union County
2426,"""US-IA-041:Clay County"",",,,129,US-,SD-,129,:Walworth County
2427,"""US-IA-039:Clarke County"",",,,135,US-,SD-,135,:Yankton County
2428,"""US-IA-037:Chickasaw County"",",,,137,US-,SD-,137,:Ziebach County
2429,"""US-IA-035:Cherokee County"",",,,1,US-,TN-,001,:Anderson County
2430,"""US-IA-033:Cerro Gordo County"",",,,3,US-,TN-,003,:Bedford County
2431,"""US-IA-031:Cedar County"",",,,5,US-,TN-,005,:Benton County
2432,"""US-IA-029:Cass County"",",,,7,US-,TN-,007,:Bledsoe County
2433,"""US-IA-027:Carroll County"",",,,9,US-,TN-,009,:Blount County
2434,"""US-IA-025:Calhoun County"",",,,11,US-,TN-,011,:Bradley County
2435,"""US-IA-023:Butler County"",",,,13,US-,TN-,013,:Campbell County
2436,"""US-IA-021:Buena Vista County"",",,,15,US-,TN-,015,:Cannon County
2437,"""US-IA-019:Buchanan County"",",,,17,US-,TN-,017,:Carroll County
2438,"""US-IA-017:Bremer County"",",,,19,US-,TN-,019,:Carter County
2439,"""US-IA-015:Boone County"",",,,21,US-,TN-,021,:Cheatham County
2440,"""US-IA-013:Black Hawk County"",",,,23,US-,TN-,023,:Chester County
2441,"""US-IA-011:Benton County"",",,,25,US-,TN-,025,:Claiborne County
2442,"""US-IA-009:Audubon County"",",,,27,US-,TN-,027,:Clay County
2443,"""US-IA-007:Appanoose County"",",,,29,US-,TN-,029,:Cocke County
2444,"""US-IA-005:Allamakee County"",",,,31,US-,TN-,031,:Coffee County
2445,"""US-IA-003:Adams County"",",,,33,US-,TN-,033,:Crockett County
2446,"""US-IA-001:Adair County"",",,,35,US-,TN-,035,:Cumberland County
2447,"""US-IN-183:Whitley County"",",,,37,US-,TN-,037,:Davidson County
2448,"""US-IN-181:White County"",",,,39,US-,TN-,039,:Decatur County
2449,"""US-IN-179:Wells County"",",,,41,US-,TN-,041,:DeKalb County
2450,"""US-IN-177:Wayne County"",",,,43,US-,TN-,043,:Dickson County
2451,"""US-IN-175:Washington County"",",,,45,US-,TN-,045,:Dyer County
2452,"""US-IN-173:Warrick County"",",,,47,US-,TN-,047,:Fayette County
2453,"""US-IN-171:Warren County"",",,,49,US-,TN-,049,:Fentress County
2454,"""US-IN-169:Wabash County"",",,,51,US-,TN-,051,:Franklin County
2455,"""US-IN-167:Vigo County"",",,,53,US-,TN-,053,:Gibson County
2456,"""US-IN-165:Vermillion County"",",,,55,US-,TN-,055,:Giles County
2457,"""US-IN-163:Vanderburgh County"",",,,57,US-,TN-,057,:Grainger County
2458,"""US-IN-161:Union County"",",,,59,US-,TN-,059,:Greene County
2459,"""US-IN-159:Tipton County"",",,,61,US-,TN-,061,:Grundy County
2460,"""US-IN-157:Tippecanoe County"",",,,63,US-,TN-,063,:Hamblen County
2461,"""US-IN-155:Switzerland County"",",,,65,US-,TN-,065,:Hamilton County
2462,"""US-IN-153:Sullivan County"",",,,67,US-,TN-,067,:Hancock County
2463,"""US-IN-151:Steuben County"",",,,69,US-,TN-,069,:Hardeman County
2464,"""US-IN-149:Starke County"",",,,71,US-,TN-,071,:Hardin County
2465,"""US-IN-147:Spencer County"",",,,73,US-,TN-,073,:Hawkins County
2466,"""US-IN-145:Shelby County"",",,,75,US-,TN-,075,:Haywood County
2467,"""US-IN-143:Scott County"",",,,77,US-,TN-,077,:Henderson County
2468,"""US-IN-141:St. Joseph County"",",,,79,US-,TN-,079,:Henry County
2469,"""US-IN-139:Rush County"",",,,81,US-,TN-,081,:Hickman County
2470,"""US-IN-137:Ripley County"",",,,83,US-,TN-,083,:Houston County
2471,"""US-IN-135:Randolph County"",",,,85,US-,TN-,085,:Humphreys County
2472,"""US-IN-133:Putnam County"",",,,87,US-,TN-,087,:Jackson County
2473,"""US-IN-131:Pulaski County"",",,,89,US-,TN-,089,:Jefferson County
2474,"""US-IN-129:Posey County"",",,,91,US-,TN-,091,:Johnson County
2475,"""US-IN-127:Porter County"",",,,93,US-,TN-,093,:Knox County
2476,"""US-IN-125:Pike County"",",,,95,US-,TN-,095,:Lake County
2477,"""US-IN-123:Perry County"",",,,97,US-,TN-,097,:Lauderdale County
2478,"""US-IN-121:Parke County"",",,,99,US-,TN-,099,:Lawrence County
2479,"""US-IN-119:Owen County"",",,,101,US-,TN-,101,:Lewis County
2480,"""US-IN-117:Orange County"",",,,103,US-,TN-,103,:Lincoln County
2481,"""US-IN-115:Ohio County"",",,,105,US-,TN-,105,:Loudon County
2482,"""US-IN-113:Noble County"",",,,107,US-,TN-,107,:McMinn County
2483,"""US-IN-111:Newton County"",",,,109,US-,TN-,109,:McNairy County
2484,"""US-IN-109:Morgan County"",",,,111,US-,TN-,111,:Macon County
2485,"""US-IN-107:Montgomery County"",",,,113,US-,TN-,113,:Madison County
2486,"""US-IN-105:Monroe County"",",,,115,US-,TN-,115,:Marion County
2487,"""US-IN-103:Miami County"",",,,117,US-,TN-,117,:Marshall County
2488,"""US-IN-101:Martin County"",",,,119,US-,TN-,119,:Maury County
2489,"""US-IN-099:Marshall County"",",,,121,US-,TN-,121,:Meigs County
2490,"""US-IN-097:Marion County"",",,,123,US-,TN-,123,:Monroe County
2491,"""US-IN-095:Madison County"",",,,125,US-,TN-,125,:Montgomery County
2492,"""US-IN-093:Lawrence County"",",,,127,US-,TN-,127,:Moore County
2493,"""US-IN-091:LaPorte County"",",,,129,US-,TN-,129,:Morgan County
2494,"""US-IN-089:Lake County"",",,,131,US-,TN-,131,:Obion County
2495,"""US-IN-087:LaGrange County"",",,,133,US-,TN-,133,:Overton County
2496,"""US-IN-085:Kosciusko County"",",,,135,US-,TN-,135,:Perry County
2497,"""US-IN-083:Knox County"",",,,137,US-,TN-,137,:Pickett County
2498,"""US-IN-081:Johnson County"",",,,139,US-,TN-,139,:Polk County
2499,"""US-IN-079:Jennings County"",",,,141,US-,TN-,141,:Putnam County
2500,"""US-IN-077:Jefferson County"",",,,143,US-,TN-,143,:Rhea County
2501,"""US-IN-075:Jay County"",",,,145,US-,TN-,145,:Roane County
2502,"""US-IN-073:Jasper County"",",,,147,US-,TN-,147,:Robertson County
2503,"""US-IN-071:Jackson County"",",,,149,US-,TN-,149,:Rutherford County
2504,"""US-IN-069:Huntington County"",",,,151,US-,TN-,151,:Scott County
2505,"""US-IN-067:Howard County"",",,,153,US-,TN-,153,:Sequatchie County
2506,"""US-IN-065:Henry County"",",,,155,US-,TN-,155,:Sevier County
2507,"""US-IN-063:Hendricks County"",",,,157,US-,TN-,157,:Shelby County
2508,"""US-IN-061:Harrison County"",",,,159,US-,TN-,159,:Smith County
2509,"""US-IN-059:Hancock County"",",,,161,US-,TN-,161,:Stewart County
2510,"""US-IN-057:Hamilton County"",",,,163,US-,TN-,163,:Sullivan County
2511,"""US-IN-055:Greene County"",",,,165,US-,TN-,165,:Sumner County
2512,"""US-IN-053:Grant County"",",,,167,US-,TN-,167,:Tipton County
2513,"""US-IN-051:Gibson County"",",,,169,US-,TN-,169,:Trousdale County
2514,"""US-IN-049:Fulton County"",",,,171,US-,TN-,171,:Unicoi County
2515,"""US-IN-047:Franklin County"",",,,173,US-,TN-,173,:Union County
2516,"""US-IN-045:Fountain County"",",,,175,US-,TN-,175,:Van Buren County
2517,"""US-IN-043:Floyd County"",",,,177,US-,TN-,177,:Warren County
2518,"""US-IN-041:Fayette County"",",,,179,US-,TN-,179,:Washington County
2519,"""US-IN-039:Elkhart County"",",,,181,US-,TN-,181,:Wayne County
2520,"""US-IN-037:Dubois County"",",,,183,US-,TN-,183,:Weakley County
2521,"""US-IN-035:Delaware County"",",,,185,US-,TN-,185,:White County
2522,"""US-IN-033:DeKalb County"",",,,187,US-,TN-,187,:Williamson County
2523,"""US-IN-031:Decatur County"",",,,189,US-,TN-,189,:Wilson County
2524,"""US-IN-029:Dearborn County"",",,,1,US-,TX-,001,:Anderson County
2525,"""US-IN-027:Daviess County"",",,,3,US-,TX-,003,:Andrews County
2526,"""US-IN-025:Crawford County"",",,,5,US-,TX-,005,:Angelina County
2527,"""US-IN-023:Clinton County"",",,,7,US-,TX-,007,:Aransas County
2528,"""US-IN-021:Clay County"",",,,9,US-,TX-,009,:Archer County
2529,"""US-IN-019:Clark County"",",,,11,US-,TX-,011,:Armstrong County
2530,"""US-IN-017:Cass County"",",,,13,US-,TX-,013,:Atascosa County
2531,"""US-IN-015:Carroll County"",",,,15,US-,TX-,015,:Austin County
2532,"""US-IN-013:Brown County"",",,,17,US-,TX-,017,:Bailey County
2533,"""US-IN-011:Boone County"",",,,19,US-,TX-,019,:Bandera County
2534,"""US-IN-009:Blackford County"",",,,21,US-,TX-,021,:Bastrop County
2535,"""US-IN-007:Benton County"",",,,23,US-,TX-,023,:Baylor County
2536,"""US-IN-005:Bartholomew County"",",,,25,US-,TX-,025,:Bee County
2537,"""US-IN-003:Allen County"",",,,27,US-,TX-,027,:Bell County
2538,"""US-IN-001:Adams County"",",,,29,US-,TX-,029,:Bexar County
2539,"""US-IL-203:Woodford County"",",,,31,US-,TX-,031,:Blanco County
2540,"""US-IL-201:Winnebago County"",",,,33,US-,TX-,033,:Borden County
2541,"""US-IL-199:Williamson County"",",,,35,US-,TX-,035,:Bosque County
2542,"""US-IL-197:Will County"",",,,37,US-,TX-,037,:Bowie County
2543,"""US-IL-195:Whiteside County"",",,,39,US-,TX-,039,:Brazoria County
2544,"""US-IL-193:White County"",",,,41,US-,TX-,041,:Brazos County
2545,"""US-IL-191:Wayne County"",",,,43,US-,TX-,043,:Brewster County
2546,"""US-IL-189:Washington County"",",,,45,US-,TX-,045,:Briscoe County
2547,"""US-IL-187:Warren County"",",,,47,US-,TX-,047,:Brooks County
2548,"""US-IL-185:Wabash County"",",,,49,US-,TX-,049,:Brown County
2549,"""US-IL-183:Vermilion County"",",,,51,US-,TX-,051,:Burleson County
2550,"""US-IL-181:Union County"",",,,53,US-,TX-,053,:Burnet County
2551,"""US-IL-179:Tazewell County"",",,,55,US-,TX-,055,:Caldwell County
2552,"""US-IL-177:Stephenson County"",",,,57,US-,TX-,057,:Calhoun County
2553,"""US-IL-175:Stark County"",",,,59,US-,TX-,059,:Callahan County
2554,"""US-IL-173:Shelby County"",",,,61,US-,TX-,061,:Cameron County
2555,"""US-IL-171:Scott County"",",,,63,US-,TX-,063,:Camp County
2556,"""US-IL-169:Schuyler County"",",,,65,US-,TX-,065,:Carson County
2557,"""US-IL-167:Sangamon County"",",,,67,US-,TX-,067,:Cass County
2558,"""US-IL-165:Saline County"",",,,69,US-,TX-,069,:Castro County
2559,"""US-IL-163:St. Clair County"",",,,71,US-,TX-,071,:Chambers County
2560,"""US-IL-161:Rock Island County"",",,,73,US-,TX-,073,:Cherokee County
2561,"""US-IL-159:Richland County"",",,,75,US-,TX-,075,:Childress County
2562,"""US-IL-157:Randolph County"",",,,77,US-,TX-,077,:Clay County
2563,"""US-IL-155:Putnam County"",",,,79,US-,TX-,079,:Cochran County
2564,"""US-IL-153:Pulaski County"",",,,81,US-,TX-,081,:Coke County
2565,"""US-IL-151:Pope County"",",,,83,US-,TX-,083,:Coleman County
2566,"""US-IL-149:Pike County"",",,,85,US-,TX-,085,:Collin County
2567,"""US-IL-147:Piatt County"",",,,87,US-,TX-,087,:Collingsworth County
2568,"""US-IL-145:Perry County"",",,,89,US-,TX-,089,:Colorado County
2569,"""US-IL-143:Peoria County"",",,,91,US-,TX-,091,:Comal County
2570,"""US-IL-141:Ogle County"",",,,93,US-,TX-,093,:Comanche County
2571,"""US-IL-139:Moultrie County"",",,,95,US-,TX-,095,:Concho County
2572,"""US-IL-137:Morgan County"",",,,97,US-,TX-,097,:Cooke County
2573,"""US-IL-135:Montgomery County"",",,,99,US-,TX-,099,:Coryell County
2574,"""US-IL-133:Monroe County"",",,,101,US-,TX-,101,:Cottle County
2575,"""US-IL-131:Mercer County"",",,,103,US-,TX-,103,:Crane County
2576,"""US-IL-129:Menard County"",",,,105,US-,TX-,105,:Crockett County
2577,"""US-IL-127:Massac County"",",,,107,US-,TX-,107,:Crosby County
2578,"""US-IL-125:Mason County"",",,,109,US-,TX-,109,:Culberson County
2579,"""US-IL-123:Marshall County"",",,,111,US-,TX-,111,:Dallam County
2580,"""US-IL-121:Marion County"",",,,113,US-,TX-,113,:Dallas County
2581,"""US-IL-119:Madison County"",",,,115,US-,TX-,115,:Dawson County
2582,"""US-IL-117:Macoupin County"",",,,117,US-,TX-,117,:Deaf Smith County
2583,"""US-IL-115:Macon County"",",,,119,US-,TX-,119,:Delta County
2584,"""US-IL-113:McLean County"",",,,121,US-,TX-,121,:Denton County
2585,"""US-IL-111:McHenry County"",",,,123,US-,TX-,123,:DeWitt County
2586,"""US-IL-109:McDonough County"",",,,125,US-,TX-,125,:Dickens County
2587,"""US-IL-107:Logan County"",",,,127,US-,TX-,127,:Dimmit County
2588,"""US-IL-105:Livingston County"",",,,129,US-,TX-,129,:Donley County
2589,"""US-IL-103:Lee County"",",,,131,US-,TX-,131,:Duval County
2590,"""US-IL-101:Lawrence County"",",,,133,US-,TX-,133,:Eastland County
2591,"""US-IL-099:LaSalle County"",",,,135,US-,TX-,135,:Ector County
2592,"""US-IL-097:Lake County"",",,,137,US-,TX-,137,:Edwards County
2593,"""US-IL-095:Knox County"",",,,139,US-,TX-,139,:Ellis County
2594,"""US-IL-093:Kendall County"",",,,141,US-,TX-,141,:El Paso County
2595,"""US-IL-091:Kankakee County"",",,,143,US-,TX-,143,:Erath County
2596,"""US-IL-089:Kane County"",",,,145,US-,TX-,145,:Falls County
2597,"""US-IL-087:Johnson County"",",,,147,US-,TX-,147,:Fannin County
2598,"""US-IL-085:Jo Daviess County"",",,,149,US-,TX-,149,:Fayette County
2599,"""US-IL-083:Jersey County"",",,,151,US-,TX-,151,:Fisher County
2600,"""US-IL-081:Jefferson County"",",,,153,US-,TX-,153,:Floyd County
2601,"""US-IL-079:Jasper County"",",,,155,US-,TX-,155,:Foard County
2602,"""US-IL-077:Jackson County"",",,,157,US-,TX-,157,:Fort Bend County
2603,"""US-IL-075:Iroquois County"",",,,159,US-,TX-,159,:Franklin County
2604,"""US-IL-073:Henry County"",",,,161,US-,TX-,161,:Freestone County
2605,"""US-IL-071:Henderson County"",",,,163,US-,TX-,163,:Frio County
2606,"""US-IL-069:Hardin County"",",,,165,US-,TX-,165,:Gaines County
2607,"""US-IL-067:Hancock County"",",,,167,US-,TX-,167,:Galveston County
2608,"""US-IL-065:Hamilton County"",",,,169,US-,TX-,169,:Garza County
2609,"""US-IL-063:Grundy County"",",,,171,US-,TX-,171,:Gillespie County
2610,"""US-IL-061:Greene County"",",,,173,US-,TX-,173,:Glasscock County
2611,"""US-IL-059:Gallatin County"",",,,175,US-,TX-,175,:Goliad County
2612,"""US-IL-057:Fulton County"",",,,177,US-,TX-,177,:Gonzales County
2613,"""US-IL-055:Franklin County"",",,,179,US-,TX-,179,:Gray County
2614,"""US-IL-053:Ford County"",",,,181,US-,TX-,181,:Grayson County
2615,"""US-IL-051:Fayette County"",",,,183,US-,TX-,183,:Gregg County
2616,"""US-IL-049:Effingham County"",",,,185,US-,TX-,185,:Grimes County
2617,"""US-IL-047:Edwards County"",",,,187,US-,TX-,187,:Guadalupe County
2618,"""US-IL-045:Edgar County"",",,,189,US-,TX-,189,:Hale County
2619,"""US-IL-043:DuPage County"",",,,191,US-,TX-,191,:Hall County
2620,"""US-IL-041:Douglas County"",",,,193,US-,TX-,193,:Hamilton County
2621,"""US-IL-039:De Witt County"",",,,195,US-,TX-,195,:Hansford County
2622,"""US-IL-037:DeKalb County"",",,,197,US-,TX-,197,:Hardeman County
2623,"""US-IL-035:Cumberland County"",",,,199,US-,TX-,199,:Hardin County
2624,"""US-IL-033:Crawford County"",",,,201,US-,TX-,201,:Harris County
2625,"""US-IL-031:Cook County"",",,,203,US-,TX-,203,:Harrison County
2626,"""US-IL-029:Coles County"",",,,205,US-,TX-,205,:Hartley County
2627,"""US-IL-027:Clinton County"",",,,207,US-,TX-,207,:Haskell County
2628,"""US-IL-025:Clay County"",",,,209,US-,TX-,209,:Hays County
2629,"""US-IL-023:Clark County"",",,,211,US-,TX-,211,:Hemphill County
2630,"""US-IL-021:Christian County"",",,,213,US-,TX-,213,:Henderson County
2631,"""US-IL-019:Champaign County"",",,,215,US-,TX-,215,:Hidalgo County
2632,"""US-IL-017:Cass County"",",,,217,US-,TX-,217,:Hill County
2633,"""US-IL-015:Carroll County"",",,,219,US-,TX-,219,:Hockley County
2634,"""US-IL-013:Calhoun County"",",,,221,US-,TX-,221,:Hood County
2635,"""US-IL-011:Bureau County"",",,,223,US-,TX-,223,:Hopkins County
2636,"""US-IL-009:Brown County"",",,,225,US-,TX-,225,:Houston County
2637,"""US-IL-007:Boone County"",",,,227,US-,TX-,227,:Howard County
2638,"""US-IL-005:Bond County"",",,,229,US-,TX-,229,:Hudspeth County
2639,"""US-IL-003:Alexander County"",",,,231,US-,TX-,231,:Hunt County
2640,"""US-IL-001:Adams County"",",,,233,US-,TX-,233,:Hutchinson County
2641,"""US-ID-087:Washington County"",",,,235,US-,TX-,235,:Irion County
2642,"""US-ID-085:Valley County"",",,,237,US-,TX-,237,:Jack County
2643,"""US-ID-083:Twin Falls County"",",,,239,US-,TX-,239,:Jackson County
2644,"""US-ID-081:Teton County"",",,,241,US-,TX-,241,:Jasper County
2645,"""US-ID-079:Shoshone County"",",,,243,US-,TX-,243,:Jeff Davis County
2646,"""US-ID-077:Power County"",",,,245,US-,TX-,245,:Jefferson County
2647,"""US-ID-075:Payette County"",",,,247,US-,TX-,247,:Jim Hogg County
2648,"""US-ID-073:Owyhee County"",",,,249,US-,TX-,249,:Jim Wells County
2649,"""US-ID-071:Oneida County"",",,,251,US-,TX-,251,:Johnson County
2650,"""US-ID-069:Nez Perce County"",",,,253,US-,TX-,253,:Jones County
2651,"""US-ID-067:Minidoka County"",",,,255,US-,TX-,255,:Karnes County
2652,"""US-ID-065:Madison County"",",,,257,US-,TX-,257,:Kaufman County
2653,"""US-ID-063:Lincoln County"",",,,259,US-,TX-,259,:Kendall County
2654,"""US-ID-061:Lewis County"",",,,261,US-,TX-,261,:Kenedy County
2655,"""US-ID-059:Lemhi County"",",,,263,US-,TX-,263,:Kent County
2656,"""US-ID-057:Latah County"",",,,265,US-,TX-,265,:Kerr County
2657,"""US-ID-055:Kootenai County"",",,,267,US-,TX-,267,:Kimble County
2658,"""US-ID-053:Jerome County"",",,,269,US-,TX-,269,:King County
2659,"""US-ID-051:Jefferson County"",",,,271,US-,TX-,271,:Kinney County
2660,"""US-ID-049:Idaho County"",",,,273,US-,TX-,273,:Kleberg County
2661,"""US-ID-047:Gooding County"",",,,275,US-,TX-,275,:Knox County
2662,"""US-ID-045:Gem County"",",,,277,US-,TX-,277,:Lamar County
2663,"""US-ID-043:Fremont County"",",,,279,US-,TX-,279,:Lamb County
2664,"""US-ID-041:Franklin County"",",,,281,US-,TX-,281,:Lampasas County
2665,"""US-ID-039:Elmore County"",",,,283,US-,TX-,283,:La Salle County
2666,"""US-ID-037:Custer County"",",,,285,US-,TX-,285,:Lavaca County
2667,"""US-ID-035:Clearwater County"",",,,287,US-,TX-,287,:Lee County
2668,"""US-ID-033:Clark County"",",,,289,US-,TX-,289,:Leon County
2669,"""US-ID-031:Cassia County"",",,,291,US-,TX-,291,:Liberty County
2670,"""US-ID-029:Caribou County"",",,,293,US-,TX-,293,:Limestone County
2671,"""US-ID-027:Canyon County"",",,,295,US-,TX-,295,:Lipscomb County
2672,"""US-ID-025:Camas County"",",,,297,US-,TX-,297,:Live Oak County
2673,"""US-ID-023:Butte County"",",,,299,US-,TX-,299,:Llano County
2674,"""US-ID-021:Boundary County"",",,,301,US-,TX-,301,:Loving County
2675,"""US-ID-019:Bonneville County"",",,,303,US-,TX-,303,:Lubbock County
2676,"""US-ID-017:Bonner County"",",,,305,US-,TX-,305,:Lynn County
2677,"""US-ID-015:Boise County"",",,,307,US-,TX-,307,:McCulloch County
2678,"""US-ID-013:Blaine County"",",,,309,US-,TX-,309,:McLennan County
2679,"""US-ID-011:Bingham County"",",,,311,US-,TX-,311,:McMullen County
2680,"""US-ID-009:Benewah County"",",,,313,US-,TX-,313,:Madison County
2681,"""US-ID-007:Bear Lake County"",",,,315,US-,TX-,315,:Marion County
2682,"""US-ID-005:Bannock County"",",,,317,US-,TX-,317,:Martin County
2683,"""US-ID-003:Adams County"",",,,319,US-,TX-,319,:Mason County
2684,"""US-ID-001:Ada County"",",,,321,US-,TX-,321,:Matagorda County
2685,"""US-HI-009:Maui County"",",,,323,US-,TX-,323,:Maverick County
2686,"""US-HI-007:Kauai County"",",,,325,US-,TX-,325,:Medina County
2687,"""US-HI-005:Kalawao County"",",,,327,US-,TX-,327,:Menard County
2688,"""US-HI-003:Honolulu County"",",,,329,US-,TX-,329,:Midland County
2689,"""US-HI-001:Hawaii County"",",,,331,US-,TX-,331,:Milam County
2690,"""US-GA-321:Worth County"",",,,333,US-,TX-,333,:Mills County
2691,"""US-GA-319:Wilkinson County"",",,,335,US-,TX-,335,:Mitchell County
2692,"""US-GA-317:Wilkes County"",",,,337,US-,TX-,337,:Montague County
2693,"""US-GA-315:Wilcox County"",",,,339,US-,TX-,339,:Montgomery County
2694,"""US-GA-313:Whitfield County"",",,,341,US-,TX-,341,:Moore County
2695,"""US-GA-311:White County"",",,,343,US-,TX-,343,:Morris County
2696,"""US-GA-309:Wheeler County"",",,,345,US-,TX-,345,:Motley County
2697,"""US-GA-307:Webster County"",",,,347,US-,TX-,347,:Nacogdoches County
2698,"""US-GA-305:Wayne County"",",,,349,US-,TX-,349,:Navarro County
2699,"""US-GA-303:Washington County"",",,,351,US-,TX-,351,:Newton County
2700,"""US-GA-301:Warren County"",",,,353,US-,TX-,353,:Nolan County
2701,"""US-GA-299:Ware County"",",,,355,US-,TX-,355,:Nueces County
2702,"""US-GA-297:Walton County"",",,,357,US-,TX-,357,:Ochiltree County
2703,"""US-GA-295:Walker County"",",,,359,US-,TX-,359,:Oldham County
2704,"""US-GA-293:Upson County"",",,,361,US-,TX-,361,:Orange County
2705,"""US-GA-291:Union County"",",,,363,US-,TX-,363,:Palo Pinto County
2706,"""US-GA-289:Twiggs County"",",,,365,US-,TX-,365,:Panola County
2707,"""US-GA-287:Turner County"",",,,367,US-,TX-,367,:Parker County
2708,"""US-GA-285:Troup County"",",,,369,US-,TX-,369,:Parmer County
2709,"""US-GA-283:Treutlen County"",",,,371,US-,TX-,371,:Pecos County
2710,"""US-GA-281:Towns County"",",,,373,US-,TX-,373,:Polk County
2711,"""US-GA-279:Toombs County"",",,,375,US-,TX-,375,:Potter County
2712,"""US-GA-277:Tift County"",",,,377,US-,TX-,377,:Presidio County
2713,"""US-GA-275:Thomas County"",",,,379,US-,TX-,379,:Rains County
2714,"""US-GA-273:Terrell County"",",,,381,US-,TX-,381,:Randall County
2715,"""US-GA-271:Telfair County"",",,,383,US-,TX-,383,:Reagan County
2716,"""US-GA-269:Taylor County"",",,,385,US-,TX-,385,:Real County
2717,"""US-GA-267:Tattnall County"",",,,387,US-,TX-,387,:Red River County
2718,"""US-GA-265:Taliaferro County"",",,,389,US-,TX-,389,:Reeves County
2719,"""US-GA-263:Talbot County"",",,,391,US-,TX-,391,:Refugio County
2720,"""US-GA-261:Sumter County"",",,,393,US-,TX-,393,:Roberts County
2721,"""US-GA-259:Stewart County"",",,,395,US-,TX-,395,:Robertson County
2722,"""US-GA-257:Stephens County"",",,,397,US-,TX-,397,:Rockwall County
2723,"""US-GA-255:Spalding County"",",,,399,US-,TX-,399,:Runnels County
2724,"""US-GA-253:Seminole County"",",,,401,US-,TX-,401,:Rusk County
2725,"""US-GA-251:Screven County"",",,,403,US-,TX-,403,:Sabine County
2726,"""US-GA-249:Schley County"",",,,405,US-,TX-,405,:San Augustine County
2727,"""US-GA-247:Rockdale County"",",,,407,US-,TX-,407,:San Jacinto County
2728,"""US-GA-245:Richmond County"",",,,409,US-,TX-,409,:San Patricio County
2729,"""US-GA-243:Randolph County"",",,,411,US-,TX-,411,:San Saba County
2730,"""US-GA-241:Rabun County"",",,,413,US-,TX-,413,:Schleicher County
2731,"""US-GA-239:Quitman County"",",,,415,US-,TX-,415,:Scurry County
2732,"""US-GA-237:Putnam County"",",,,417,US-,TX-,417,:Shackelford County
2733,"""US-GA-235:Pulaski County"",",,,419,US-,TX-,419,:Shelby County
2734,"""US-GA-233:Polk County"",",,,421,US-,TX-,421,:Sherman County
2735,"""US-GA-231:Pike County"",",,,423,US-,TX-,423,:Smith County
2736,"""US-GA-229:Pierce County"",",,,425,US-,TX-,425,:Somervell County
2737,"""US-GA-227:Pickens County"",",,,427,US-,TX-,427,:Starr County
2738,"""US-GA-225:Peach County"",",,,429,US-,TX-,429,:Stephens County
2739,"""US-GA-223:Paulding County"",",,,431,US-,TX-,431,:Sterling County
2740,"""US-GA-221:Oglethorpe County"",",,,433,US-,TX-,433,:Stonewall County
2741,"""US-GA-219:Oconee County"",",,,435,US-,TX-,435,:Sutton County
2742,"""US-GA-217:Newton County"",",,,437,US-,TX-,437,:Swisher County
2743,"""US-GA-215:Muscogee County"",",,,439,US-,TX-,439,:Tarrant County
2744,"""US-GA-213:Murray County"",",,,441,US-,TX-,441,:Taylor County
2745,"""US-GA-211:Morgan County"",",,,443,US-,TX-,443,:Terrell County
2746,"""US-GA-209:Montgomery County"",",,,445,US-,TX-,445,:Terry County
2747,"""US-GA-207:Monroe County"",",,,447,US-,TX-,447,:Throckmorton County
2748,"""US-GA-205:Mitchell County"",",,,449,US-,TX-,449,:Titus County
2749,"""US-GA-201:Miller County"",",,,451,US-,TX-,451,:Tom Green County
